source,source_id,dedup_key,created_utc,age_hours,title,company,location,is_dublin,salary_min,salary_max,currency,contract_type,family,stack_relevance,accessibility,visa_flag,description,url,query_term,fetched_at_utc
apify_linkedin,4414979482,bny|vice president data scientist,2026-06-27T19:01:51Z,6.0,"Vice President, Data Scientist",BNY,"Dublin, Dublin, County Dublin, Ireland",True,,,,fulltime,Data Science,Core,Unknown,,"Job DescriptionVice President, Data ScientistAt BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide.Recognized as a top destination for innovators, BNY is where bold ideas meet advanced technology and exceptional talent. Together, we power the future of finance – and this is what is all about. Join us and be part of something extraordinary.We’re seeking a future team member for the role of Vice President, Data Scientist to join our AI Hub Engineering team. This role is located in Dublin.In this role, you’ll make an impact in the following ways:Develop AI/ML and Generative AI / LLM models to address challenging and impactful business problems for BNY, from proofs of concept to production-level deliverables, and produce thorough model evaluation and documentation to support decision-making and assess model riskWrite patents and academic papers, with a focus on top-tier AI conferences and journalsDefine, create, and maintain actionable insights using data science and statistical analysis. Prepare analyses to provide business decision-supporting factsThoroughly evaluate solutions and produce supporting documentation; assess results to ensure accurate business decision-supporting informationCollaborate with colleagues and subject matter experts (SMEs) to obtain data and domain knowledge needed to conduct advanced analyticsContinuously grow and develop skills across AI/ML and GenAI and increase business acumenStay highly up to date with the latest advances in AI/GenAI, technology innovations, and banking industry trends. Share findings with the team, recommend areas for improvement, and pro",https://ie.linkedin.com/jobs/view/vice-president-data-scientist-at-bny-4414979482,data scientist,2026-06-28T00:59:55Z
apify_linkedin,4424575717,google|forward deployed engineer iv generative ai google cloud,2026-06-27T12:02:10Z,13.0,"Forward Deployed Engineer IV, Generative AI, Google Cloud",Google,"Dublin, Dublin, County Dublin, Ireland",True,150000,154000,EUR,fulltime,ML/AI Eng,Core,Senior / Lead+,,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Dublin, Ireland; London, UK.Minimum qualifications:Bachelor’s degree in Engineering, Computer Science, a related field, or equivalent practical experience.8 years of experience in cloud computing or a technical customer-facing role.Experience taking production-grade AI-driven solutions from conception to launch and architecting AI systems on cloud platforms (e.g., Google Cloud Platform (GCP)).Experience building pipelines for structured and unstructured data using both vector databases and RAG-like architectures to power enterprise AI solutions.Experience leading technical discovery sessions.Preferred qualifications:Master’s or PhD in AI, Computer Science, or a related technical field.Experience implementing multi-agent systems using frameworks (e.g., LangGraph, CrewAI, ADK) and complex patterns (e.g., ReAct, self-reflection, hierarchical delegation).Knowledge of ""LLM-native"" metrics (e.g., tokens/sec, cost-per-request) and techniques for optimizing state management and granular tracing.About the jobAs a GenAI Forward Deployed Engineer (FDE) at Google Cloud, you are an embedded builder who bridges the gap between frontier AI products and production-grade reality within customers. You will function as an ""innovator-builder,"" moving beyond high-level architecture to code, debug, and jointly ship bespoke agentic solutions directly within the customer’s environment. Your role is designed for high-agency engineers with a founder’s mindset. You will address blockers to production including solving the integration complexities, data readiness issues, and state-management issues that prevent AI from reaching enterprise-grade maturity, by embedding with strategic accounts, you will serve a dual purpose: providing ""white glove"" deployment of AI systems and acting as a critical feedback loop, transforming real-world field insights into Google Cloud’s fut",https://ie.linkedin.com/jobs/view/forward-deployed-engineer-iv-generative-ai-google-cloud-at-google-4424575717,ai engineer,2026-06-28T00:59:55Z
apify_linkedin,4433047417,methodius it recruitment|senior data engineer azure,2026-06-27T12:01:57Z,13.0,Senior Data Engineer – Azure,Methodius IT Recruitment,"County Donegal, County Donegal, Ireland",False,,,,fulltime,Analytics/Data Eng,Core,Senior / Lead+,,"We are seeking an experienced Azure Data Engineer to join a global technology organization on a strategic data modernization initiative. This is an opportunity to play a key role in transforming a legacy data platform into a modern cloud-based analytics ecosystem built on Microsoft Fabric and Azure technologies.You will be responsible for enhancing existing ETL processes, designing scalable data solutions, and driving the migration from an on-premises PostgreSQL data lake to a modern cloud architecture. Working closely with Data Management, Analytics, and Business stakeholders, you will help deliver trusted, high-quality data that powers reporting, business intelligence, and strategic decision-making.Why Join?Join a leading global IT services organisationWork on a high-profile data transformation programmeGain hands-on experience with Microsoft Fabric and modern Azure data technologiesCollaborate with talented data professionals across engineering, analytics, and governance teamsInfluence the future data architecture and analytics strategy of the organisationKey ResponsibilitiesData Engineering & Platform ModernisationSupport, maintain, and enhance existing ETL pipelines within an on-premises PostgreSQL data lake environment.Lead the migration of data ingestion, transformation, and orchestration processes to Microsoft Fabric using cloud-native best practices.Design, develop, and optimise scalable data pipelines that support enterprise analytics and reporting requirements.Build and maintain robust SQL-based transformation logic, including views, stored procedures, functions, and analytical datasets.Develop and optimise data models across lakehouse, dimensional, and relational architectures.Analytics & Business IntelligenceCreate and maintain data structures that support reporting and self-service analytics.Develop and optimise Power BI semantic models and datasets.Work closely with analytics and reporting teams to ensure data solutions are performant, scalable, and b",https://ie.linkedin.com/jobs/view/senior-data-engineer-%E2%80%93-azure-at-methodius-it-recruitment-4433047417,data engineer,2026-06-28T00:59:55Z
apify_linkedin,4433459492,m l technologies|ros engineer,2026-06-27T11:01:51Z,14.0,ROS Engineer,MūL Technologies,"Rush, Rush, Ireland",False,,,,fulltime,Unclassified,Review,Unknown,,"We'd love to have you be part of the MūL team!ROS Engineer for Autonomous Mobile RobotsPosition Title: AMR Engineer (ROS 1 & ROS 2)Location: Mequon, WIReports To: CTOJob Type: Full-TimePosition SummaryWe are seeking a skilled and knowledgeable ROS Engineer with expertise in both ROS 1 and ROS 2 to join our dynamic team. The ideal candidate will have hands-on experience with autonomous mobile robots, demonstrating a strong understanding of robotics software frameworks and practical applications. This role involves developing, testing, and deploying advanced robotics solutions for our cutting-edge projects.This position is facility-based in Mequon, WI. Some travel to customer sites is required.Key ResponsibilitiesDevelopment and Integration:Design and develop software components for autonomous mobile robots using ROS 1 and ROS 2.Integrate sensors, LIDAR, depth sensing cameras, and other hardware components with ROS-based systems.Implement navigation, perception, and control algorithms for mobile robots.Testing and Debugging:Conduct rigorous testing of software modules to ensure reliability and performance.Debug and troubleshoot issues related to robotics software and hardware integration.Optimize system performance and ensure real-time capabilities of robotic applications.Research and Innovation:Stay updated with the latest advancements in ROS and autonomous robotics.Propose and implement innovative solutions to enhance the capabilities of autonomous mobile robots.Participate in research projects and contribute to publications and patents.QualificationsEducation:At least a Bachelor's degree in Robotics, Computer Science, Electrical Engineering, or a related field.Experience:Proven experience with ROS 1 and ROS 2 in a professional or academic setting.Hands-on experience with autonomous mobile robots, including navigation, perception, and control.Familiarity with robotics simulation tools such as Gazebo, RViz, and simulation environments.Technical Skills:Proficiency in ",https://ie.linkedin.com/jobs/view/ros-engineer-at-m%C5%ABl-technologies-4433459492,data scientist,2026-06-28T00:59:55Z
apify_linkedin,4433808849,techheads|senior manager data ai,2026-06-27T01:02:19Z,24.0,Senior Manager – Data & AI,TechHeads,"Dublin, Dublin, County Dublin, Ireland",True,,,,fulltime,Analytics/Data Eng,Core,Senior / Lead+,,"Senior Manager – Data & AI TransformationPermanent | Dublin (Hybrid) Financial Services & InsuranceOverviewWe are seeking an experienced Senior Manager to lead large-scale Data & AI transformation programmes within the Insurance and Financial Services sector.This is a senior leadership role combining AI delivery, data strategy, programme management, and stakeholder engagement. You will lead complex transformation initiatives, helping organisations leverage data, analytics, Large Language Models (LLMs), and AI technologies to address regulatory, operational, and business challenges.The successful candidate will have a strong track record delivering enterprise-scale AI and data solutions, including Generative AI and LLM-enabled capabilities, within regulated environments where governance, auditability, and risk management are critical. This role offers a clear progression path to Director level.The RoleLead end-to-end delivery of Data & AI transformation programmes from strategy and solution design through to deployment and adoption.Deliver AI-enabled solutions including intelligent document processing, Generative AI, LLM-powered workflows, Retrieval-Augmented Generation (RAG), advanced analytics, and automation initiatives.Provide leadership across AI solution architecture, data platforms, cloud technologies, AI governance, and operating model design.Drive the implementation and scaling of LLM-based solutions for document intelligence, regulatory remediation, knowledge management, and business process optimisation.Engage with senior business and technology stakeholders to define strategy, drive delivery, and realise measurable business outcomes.Oversee programme governance, financial management, risk management, and executive reporting.Lead and develop high-performing teams across data, AI, engineering, and analytics disciplines.Experience RequiredProven experience delivering large-scale Data, Analytics, AI, or Generative AI transformation programmes.Hands-on experie",https://ie.linkedin.com/jobs/view/senior-manager-%E2%80%93-data-ai-at-techheads-4433808849,business intelligence,2026-06-28T00:59:55Z
apify_linkedin,4432993909,morgan mckinley|finance business partner,2026-06-27T01:02:19Z,24.0,Finance Business Partner,Morgan McKinley,"Dublin, Dublin, County Dublin, Ireland",True,,,,fulltime,Unclassified,Review,Mid (3-5 yr),,"This is an excellent opportunity to join an industry-leading business in a highly visible Finance Business Partner role, where you'll have the opportunity to influence key commercial decisions and work closely with senior leadership across the organisation.Key ResponsibilitiesPartner with Directors and senior stakeholders to provide commercial finance support and strategic insight.Support bids, tenders, pricing decisions, and commercial proposals through financial modelling and analysis.Monitor project performance, profitability, budgets, and margins, identifying risks and opportunities.Prepare revenue, margin, cash flow, and forecasting reports to support business planning.Deliver meaningful financial reporting and commentary to senior leadership.Review commercial contracts and support new business opportunities.Drive process improvements, strengthen financial controls, and enhance reporting.Mentor and support a junior member of the finance team.Skills & ExperienceACA, ACCA, CIMA, or equivalent qualified accountant.4+ years' PQE in Finance Business Partnering, Commercial Finance, or Project Finance.Strong experience in budgeting, forecasting, financial analysis, and management reporting.Knowledge of project accounting, WIP, revenue recognition, and margin analysis.Confident partnering with senior stakeholders and influencing commercial decisions.Advanced Excel skills, with Power BI or similar reporting tools an advantage.",https://ie.linkedin.com/jobs/view/finance-business-partner-at-morgan-mckinley-4432993909,business intelligence,2026-06-28T00:59:55Z
apify_linkedin,4336034111,fin|staff product engineer ai,2026-06-27T01:02:10Z,24.0,"Staff Product Engineer, AI",Fin,"Dublin, Dublin, County Dublin, Ireland",True,,,,fulltime,Unclassified,Review,Senior / Lead+,,"Fin is the AI Customer Agent company on a mission to help businesses provide perfect customer experiences.Our AI Agent Fin is the highest-performing AI Customer Agent on the market today, enabling businesses to deliver impeccable, always-on customer support across the customer journey – from service, to sales, to ecommerce. Powered by our own AI models, Fin resolves complex customer issues end-to-end across every channel, with minimal set-up and integration. Fin can also be combined with our natively integrated Intercom help desk for one single system that is designed to meet the needs of modern day support teams.Founded in 2011, Fin became one of the fastest growing companies and remains one of the largest private software companies in the world with nearly 30,000 global businesses using our products to transform their customer support. Driven by our core values, we push boundaries, build with speed and intensity, and relentlessly deliver incredible value to our customers.What's the opportunity?We’re looking for Staff Product Engineers to join the AI Group to build Fin's AI-powered products. Product Engineers working in ML work closely with both our ML Scientists and product teams. They must deeply understand our product, our customers, our ML tech stack and our broader product stack.Our group is responsible for defining new ML features, researching appropriate algorithms and technologies, and rapidly getting first prototypes in our customers’ hands.We are an extremely product focussed team. We work in partnership with Product and Design functions of teams we support. Our team's dedicated Engineers enable us to move to production fast, often shipping to beta in weeks after a successful offline test.We are very passionate about applying machine learning technology, and have productized everything from classic supervised models, to cutting-edge unsupervised clustering algorithms, to novel applications of transformer neural networks. We test and measure the real custo",https://ie.linkedin.com/jobs/view/staff-product-engineer-ai-at-fin-4336034111,ai engineer,2026-06-28T00:59:55Z
apify_linkedin,4433207937,em3|energy engineer,2026-06-27T01:02:03Z,24.0,Energy Engineer,EM3,"Limerick, Limerick, County Limerick, Ireland",False,37872,52074,EUR,fulltime,Unclassified,Review,Unknown,,"Energy EngineerLocation: Limerick, Ireland/HybridEmployment Type: Full-time I Permanent IIndustry: Energy Management Solutions for Industrial ManufacturingReporting: Consultancy Services LeadAbout EM3EM3 is a market-leading energy consultancy company, delivering end-to-end energy management and engineering solutions to large-scale industrial clients. Through innovation, technical expertise, and a strong commitment to sustainability, EM3 helps customers significantly reduce energy use, lower carbon emissions, and improve operational efficiency.Headquarters based in Limerick, Ireland with additional offices in Madrid, Spain and Chicago, USA. With a team of over 75 professionals, we specialise in identifying, implementing, monitoring and verifying energy-saving initiatives for industrial clients globally. Our work spans across energy auditing, ISO 50001 systems, energy monitoring and analytics and turnkey decarbonisation project delivery. EM3 partners with clients in sectors such as manufacturing, food and beverage, pharma, Medical Devices and data centres.As part of SHV Energy, a global organisation operating across 25 countries, EM3 is committed to advancing energy efficiency and sustainability in the industrial manufacturing sector.Position Overview:The Energy Engineer will provide support to senior consultants in delivering high-quality consultancy services to clients. You will engage directly with clients, providing solutions to reduce energy costs and improve sustainability, while leading specific projects from inception to completion.Key Responsibilities:• Assist in conducting energy audits and climate action strategies for industrial clients, delivering detailed energy opportunity calculations, audit reports and power point slide decks.• Produce feasibility studies, M&V Reports, Energy Efficient Design Reviews and other energy consultancy services.• Provide expert advice on energy efficiency, renewable energy solutions, and sustainability strategies, helping cl",https://ie.linkedin.com/jobs/view/energy-engineer-at-em3-4433207937,analytics engineer,2026-06-28T00:59:55Z
apify_linkedin,4433808684,techheads|senior contract data engineer aws,2026-06-27T01:01:57Z,24.0,Senior Contract Data Engineer – AWS,TechHeads,"Greater Dublin, Greater Dublin",True,,,,contract,Analytics/Data Eng,Core,Senior / Lead+,,"Senior Contract Data Engineer – AWS | Financial ServicesContract: €550 - €650Location: Dublin / HybridA leading financial services organisation is seeking a Senior Data Engineer to support the continued development of its cloud data platform and analytics ecosystem. This is a key contract position working closely with architecture, engineering and business teams on large-scale transformation programmes.Key ResponsibilitieDesign, build and optimise scalable AWS-based data platformsDevelop and maintain robust ETL/ELT pipelinesDrive best practices across data engineering, data quality and governanceCollaborate with architects and stakeholders to define data solutionsSupport the migration and modernisation of legacy data environmentsMentor junior engineers and provide technical leadership within project teaContribute to platform performance, security and scalability initiativesRequirementsStrong hands-on experience with AWS data servicesAdvanced SQL and Python skillsExperience delivering enterprise-scale data engineering solutionsStrong understanding of data warehousing, data lakes and cloud architectureExcellent stakeholder management and communication skillsFinancial services experience advantageous but not essential",https://ie.linkedin.com/jobs/view/senior-contract-data-engineer-%E2%80%93-aws-at-techheads-4433808684,data engineer,2026-06-28T00:59:55Z
apify_linkedin,4424539120,kraken|sr data analyst growth,2026-06-27T01:01:42Z,24.0,"Sr. Data Analyst, Growth",Kraken,"Ireland, Ireland",False,2011000,2011000,,fulltime,Analyst,Core,Senior / Lead+,,"Building the Future of Open FinancePayward - the parent company behind Kraken, NinjaTrader, Breakout, xStocks, Payward Services and CF Benchmarks - has spent the last 15 years building one of the most modern and globally accessible financial infrastructure platforms in the industry, built to advance an open, global financial system.Before you apply, we encourage you to explore our culture page to understand what drives us and how we work.The teamFounded in 2011, Kraken is one of the world's longest-standing crypto platforms, trusted by over 10 million individuals and institutions across the globe. It offers spot trading, margin, futures, staking, and OTC services, with products built for both individual investors and institutional clients.At Kraken, the data team is the infrastructure layer beneath every product decision. We're not looking for someone to report on what happened. We're looking for someone who builds the systems that make it possible to know at all and then uses them to shape what happens next.We're looking for a Senior Data Analyst, Growth to join our team remotely. This is a staff-level individual contributor role where you will own the Growth domain end to end. You won't just be answering questions. You'll be deciding which questions are worth asking, building the infrastructure to answer them at scale, and influencing the technical direction of the team along the way. Experimentation is core to how we work. We run rigorous A/B tests, apply causal inference at scale and treat experimentation as a first-class discipline, not an afterthought.You'll own production-grade pipelines, dbt models, dashboards and metric frameworks. You'll define north star metrics, drive experimentation infrastructure and translate results into clear business recommendations. You'll also play an active role in shaping how AI tooling is embedded into how we work, from LLM-augmented pipelines to GenAI-assisted workflows that have real, measurable impact on the business.At thi",https://ie.linkedin.com/jobs/view/sr-data-analyst-growth-at-kraken-4424539120,data analyst,2026-06-28T00:59:55Z
